Type,Floor Area,Address,Price,Currency,Description,Datetime,Links,Prepayment
Garage,25 sq.m.,Tavush › Ijevan,"25,000 ֏",AMD,It is in good conditionTranslated from Armenian,Nov-24-2022_16-44,https://list.am/en/item/18312729,
Garage,25 sq.m.,"Abovyan street 24, Ijevan","20,000 ֏",AMD,Comfortable garage for parking 1 car c. M 25.Translated from Armenian,Nov-27-2022_16-29,https://list.am/en/item/18639282,By Agreement
Garage,25 sq.m.,Tavush › Dilijan,"2,000,000 ֏",AMD,"Wagon cottage on 9-3, is in good condition, price is not negotiable, we do not moveTranslated from Armenian",Dec-12-2022_18-42,https://list.am/en/item/16211868,
Garage,10 sq.m.,Tavush › Dilijan,"100,000 ֏",AMD,"The garage garage gate driven width is 3.15, the speaker is 2.29Translated from Armenian",Dec-12-2022_18-42,https://list.am/en/item/16391482,
Garage,18 sq.m.,Tavush › Ijevan,"900,000 ֏",AMD,"A prefabricated garage is assembled with iron sheets in Ijevan. In a few hours, you can assemble a bolt and a nut to get the look of the final picture.Translated from Armenian",Dec-12-2022_18-42,https://list.am/en/item/18385994,
Garage,18 sq.m.,Tavush › Dilijan,"$2,500",USD,I am selling a metal garage for transporting a metal garage.Translated from Armenian,Dec-12-2022_18-42,https://list.am/en/item/17622480,
Garage,21 sq.m.,"Անկախության փողոց 7, Իջևան","$2,500",USD,"A GARAGE is for sale in the central part of Ijevan, in the courtyard of the 7 Independence building (the building in front of the VEGA electronics store)Translated from Armenian",Dec-12-2022_18-42,https://list.am/en/item/18688402,
Garage,1111 sq.m.,Tavush › Dilijan,"$4,000",USD,Garage for saleTranslated from Armenian,Dec-12-2022_18-42,https://list.am/en/item/17347196,
Garage,21 sq.m.,Tavush › Ijevan,"$2,500",USD,"Yeritasardakan street 7 building, garage or storage areaTranslated from Armenian",Dec-12-2022_18-42,https://list.am/en/item/17283234,
Garage,20 sq.m.,Tavush › Ijevan,"$2,500",USD,Garage garage in Ijevan on Enoch is also provided with air details for callTranslated from Armenian,Dec-12-2022_18-42,https://list.am/en/item/16088910,
Garage,25 sq.m.,Tavush › Ijevan,"$14,000",USD,Comfortable garage for parking 1 car c. M 25.Translated from Armenian,Dec-12-2022_18-42,https://list.am/en/item/18661751,
Garage,21 sq.m.,Tavush › Ijevan,"800,000 ֏",AMD,Garage for sale6x3.5mTranslated from Armenian,Dec-12-2022_18-42,https://list.am/en/item/18311328,
Garage,19 sq.m.,"Getapnya Street , Dilijan","5,000,000 ֏",AMD,It is privatized.Translated from Armenian,Dec-12-2022_18-42,https://list.am/en/item/18683377,
Garage,23 sq.m.,"Getapnya street, Dilijan station","4,500,000 ֏",AMD,"Stone garage for sale in Dilijan, privatized 23.8 square meters. The garage is very dry and plastered, it is also very suitable for storage.Translated from Armenian",Dec-12-2022_18-42,https://list.am/en/item/18279788,
Garage,10 sq.m.,"Ankakhutyan Street, Ijevan","$3,600",USD,Call the mentioned phone number for questionsTranslated from Armenian,Dec-12-2022_18-42,https://list.am/en/item/17953819,
Garage,21 sq.m.,Tavush › Ijevan,"$1,000",USD,"An iron garage for sale, in the city of Ijevan, the width is 3.5m, the length is 6m. Without land.Translated from Armenian",Dec-12-2022_18-42,https://list.am/en/item/17309490,
Garage,20 sq.m.,"Անկախության փողոց, Իջևան","2,700,000 ֏",AMD,"Garage for sale, Height 3 meters, Garage for sale in the center of Ijjan, there is a ownership certificate. In good conditionTranslated from Armenian",Dec-12-2022_18-42,https://list.am/en/item/17643514,
Garage,5 sq.m.,"Abovyan street, Yerevan","600,000 ֏",AMD,Garage. GarageGarage for sale. The plate is in good condition. Price: 600000.Translated from Armenian,Dec-12-2022_18-42,https://list.am/en/item/17429014,
Garage,24 sq.m.,"Ankakhutyan Street, Ijevan","2,000,000 ֏",AMD,6×4 i vra avtotnak,Dec-12-2022_18-42,https://list.am/en/item/16475478,
